value;name;category;motor;description;location;items;opportunity
R$ 399.000;CASABLANCA;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2003 - 9.912 km;Belo Horizonte - MG;[' Vidros elétricos'];
R$ 455.000;BUGATTI;USADO;Motor 1.0 8v;Ano 1993 - 81.154 km;Rio de Janeiro - RJ;[' Controle de tração'];
R$ 173.000;PORSCHE CARRERA GT;NOVO;Motor 3.0 32v;Ano 2019 - 0 km;Belo Horizonte - MG;[' Painel digital'];
R$ 340.000;BLACK AND WHITE;USADO;Motor 2.0 16v;Ano 2005 - 86.899 km;Belo Horizonte - MG;[' Rodas de liga'];
R$ 443.000;BMW I8;USADO;Motor 3.0 32v;Ano 1994 - 112.579 km;Rio de Janeiro - RJ;[' Teto panorâmico'];
R$ 383.000;SUBARU;USADO;Motor Diesel;Ano 1995 - 48.416 km;São Paulo - SP;[' Teto panorâmico'];
R$ 287.000;AMAZING;USADO;Motor 4.0 Turbo;Ano 2015 - 111.613 km;Rio de Janeiro - RJ;[' Câmbio automático'];
R$ 350.000;AUSTIN HEALEY;USADO;Motor Diesel;Ano 2003 - 15.810 km;Belo Horizonte - MG;[' Câmbio automático'];OPORTUNIDADE
R$ 276.000;FORD;USADO;Motor V8;Ano 1995 - 115.874 km;São Paulo - SP;[' 4 X 4'];
R$ 163.000;ROLLS ROYCE WRAITH;USADO;Motor Diesel;Ano 2010 - 99.918 km;São Paulo - SP;[' Câmbio automático'];
R$ 107.000;MERCEDES E63;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Controle de estabilidade'];OPORTUNIDADE
R$ 173.000;MCLAREN MP4 12C;NOVO;Motor Diesel V6;Ano 2019 - 0 km;Belo Horizonte - MG;[' Piloto automático'];OPORTUNIDADE
R$ 150.000;VWBEETLE;USADO;Motor Diesel V8;Ano 1992 - 108.055 km;Rio de Janeiro - RJ;[' Câmbio automático'];
R$ 305.000;FERRARI 360;USADO;Motor 5.0 V8 Bi-Turbo;Ano 1991 - 106.251 km;Belo Horizonte - MG;[' Sensor de chuva'];
R$ 220.000;CITROEN;USADO;Motor 1.8 16v;Ano 1995 - 13.433 km;São Paulo - SP;[' Travas elétricas'];
R$ 176.000;FERRARI 458;USADO;Motor 3.0 32v;Ano 2000 - 75.458 km;Belo Horizonte - MG;[' Bancos de couro'];
R$ 201.000;OLDTIMERS;USADO;Motor Diesel;Ano 2015 - 41.735 km;Belo Horizonte - MG;[' Sensor crepuscular'];
R$ 384.000;CAR PARTS WHITE;USADO;Motor 1.8 16v;Ano 2003 - 51.348 km;Rio de Janeiro - RJ;[' Ar condicionado'];
R$ 111.000;GOODYEAR;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Controle de estabilidade'];
R$ 146.000;AFTERFX CUSTOM JEEP;USADO;Motor Diesel;Ano 2017 - 68.014 km;São Paulo - SP;[' Vidros elétricos'];
R$ 319.000;WHITE LUXURY CAR;USADO;Motor 2.4 Turbo;Ano 1993 - 52.282 km;Rio de Janeiro - RJ;[' Câmbio automático'];
R$ 86.000;LEXUS BREAK LIGHT;USADO;Motor 2.4 Turbo;Ano 2016 - 100.617 km;São Paulo - SP;[' 4 X 4'];
R$ 188.000;FERRARI CALIFORNIA;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 467.000;MERC;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Piloto automático'];
R$ 69.000;LEXUS IS F;USADO;Motor V8;Ano 2013 - 79.881 km;São Paulo - SP;[' Sensor de chuva'];OPORTUNIDADE
R$ 230.000;FORD MUSTANG;NOVO;Motor 1.0 8v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Ar condicionado'];OPORTUNIDADE
R$ 463.000;PAGANI HUAYRA;NOVO;Motor Diesel V8;Ano 2019 - 0 km;São Paulo - SP;[' Sensor crepuscular'];
R$ 440.000;FIAT;USADO;Motor V6;Ano 2003 - 90.354 km;São Paulo - SP;[' Painel digital'];
R$ 58.000;HOUSTON;USADO;Motor V8;Ano 1995 - 48.876 km;Rio de Janeiro - RJ;[' Controle de tração'];
R$ 475.000;LEXUS;USADO;Motor Diesel V6;Ano 2006 - 43.186 km;Belo Horizonte - MG;[' Freios ABS'];OPORTUNIDADE
R$ 133.000;SPAIN;USADO;Motor 1.0 8v;Ano 2007 - 66.296 km;São Paulo - SP;[' Controle de estabilidade'];OPORTUNIDADE
R$ 322.000;BORGWARD;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;São Paulo - SP;[' Sensor crepuscular'];
R$ 138.000;SPOKES;USADO;Motor 4.0 Turbo;Ano 2016 - 72.469 km;Belo Horizonte - MG;[' Controle de tração'];
R$ 413.000;MUSCLE CAR;USADO;Motor Diesel V8;Ano 1991 - 107.498 km;São Paulo - SP;[' Controle de estabilidade'];
R$ 483.000;MCLAREN 650S;USADO;Motor 4.0 Turbo;Ano 1996 - 76.244 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 223.000;SPYKER C8;USADO;Motor 2.4 Turbo;Ano 2001 - 22.527 km;São Paulo - SP;[' Teto panorâmico'];
R$ 126.000;BOXSTER;USADO;Motor Diesel V6;Ano 2005 - 66.836 km;São Paulo - SP;[' Piloto automático'];
R$ 354.000;ASTON MARTIN SHOOTING BRAKE ZAGATO;USADO;Motor Diesel V8;Ano 2007 - 22.225 km;Belo Horizonte - MG;[' Sensor crepuscular'];
R$ 132.000;PORSCHE 911;USADO;Motor V8;Ano 2007 - 97.778 km;Rio de Janeiro - RJ;[' Controle de estabilidade'];
R$ 201.000;ASTON MARTIN DB11;USADO;Motor 1.0 8v;Ano 1995 - 95.124 km;São Paulo - SP;[' Sensor de estacionamento'];
R$ 58.000;KAHULUI;NOVO;Motor V8;Ano 2019 - 0 km;São Paulo - SP;[' Painel digital'];
R$ 159.000;DAIMLER;USADO;Motor Diesel;Ano 1997 - 76.354 km;Belo Horizonte - MG;[' Sensor crepuscular'];
R$ 167.000;RED CAR;USADO;Motor 1.0 8v;Ano 1993 - 11.015 km;Rio de Janeiro - RJ;[' Teto panorâmico'];
R$ 249.000;PORSCHE;USADO;Motor 3.0 32v;Ano 1990 - 9.856 km;Belo Horizonte - MG;[' 4 X 4'];
R$ 402.000;ASPHALT;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Bancos de couro'];
R$ 393.000;ASTON MARTIN VANTAGE;USADO;Motor 1.8 16v;Ano 2018 - 76.558 km;Rio de Janeiro - RJ;[' Sensor de chuva'];OPORTUNIDADE
R$ 332.000;PORSCHE TURBO;USADO;Motor 1.0 8v;Ano 1993 - 23.418 km;Rio de Janeiro - RJ;[' 4 X 4'];
R$ 472.000;REO;NOVO;Motor 1.8 16v;Ano 2019 - 0 km;Belo Horizonte - MG;[' Sensor de chuva'];
R$ 442.000;COBRA;NOVO;Motor 2.4 Turbo;Ano 2019 - 0 km;São Paulo - SP;[' Piloto automático'];
R$ 108.000;SUV;NOVO;Motor 1.0 8v;Ano 2019 - 0 km;Belo Horizonte - MG;[' Controle de tração'];
R$ 471.000;JEEP;USADO;Motor 2.4 Turbo;Ano 1990 - 68.534 km;Rio de Janeiro - RJ;[' Controle de tração'];
R$ 210.000;CLASSIC CAR;NOVO;Motor Diesel V8;Ano 2019 - 0 km;Belo Horizonte - MG;[' Ar condicionado'];
R$ 332.000;TEA;USADO;Motor 2.4 Turbo;Ano 2014 - 115.936 km;Belo Horizonte - MG;[' Central multimídia'];
R$ 113.000;TRAFFIC;NOVO;Motor 3.0 32v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Painel digital'];
R$ 172.000;MERCEDES BENZ 600SE LUXURY SEDAN;USADO;Motor 2.0 16v;Ano 1997 - 80.168 km;Belo Horizonte - MG;[' Sensor de chuva'];
R$ 180.000;PKW;NOVO;Motor Diesel;Ano 2019 - 0 km;São Paulo - SP;[' Ar condicionado'];
R$ 498.000;MERCEDES SLK55;NOVO;Motor Diesel V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Piloto automático'];
R$ 142.000;LUXURY CAR;USADO;Motor Diesel;Ano 2015 - 72.680 km;Rio de Janeiro - RJ;[' Teto panorâmico'];
R$ 121.000;MERCEDES SL300;USADO;Motor 2.4 Turbo;Ano 1994 - 16.192 km;São Paulo - SP;[' Câmera de estacionamento'];OPORTUNIDADE
R$ 432.000;REDJAWA;USADO;Motor 2.0 16v;Ano 1992 - 85.309 km;São Paulo - SP;[' Ar condicionado'];
R$ 297.000;MINI;USADO;Motor V8;Ano 2000 - 86.019 km;Belo Horizonte - MG;[' Controle de estabilidade'];
R$ 160.000;HUMMER;USADO;Motor 1.0 8v;Ano 2010 - 64.634 km;Belo Horizonte - MG;[' Câmbio automático'];
R$ 191.000;FIRE;NOVO;Motor Diesel V6;Ano 2019 - 0 km;São Paulo - SP;[' Sensor crepuscular'];OPORTUNIDADE
R$ 321.000;FERRARI 348;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2013 - 44.072 km;Belo Horizonte - MG;[' Rodas de liga'];
R$ 342.000;FERRARI ENZO;USADO;Motor V8;Ano 1994 - 111.311 km;Rio de Janeiro - RJ;[' Freios ABS'];OPORTUNIDADE
R$ 131.000;ALLOY;USADO;Motor 1.8 16v;Ano 1995 - 58.944 km;São Paulo - SP;[' Freios ABS'];
R$ 102.000;SPORT CAR;NOVO;Motor V8;Ano 2019 - 0 km;São Paulo - SP;[' Teto panorâmico'];
R$ 422.000;CUBA;USADO;Motor Diesel;Ano 1992 - 62.255 km;Rio de Janeiro - RJ;[' Teto panorâmico'];
R$ 482.000;FERRARI F12;USADO;Motor Diesel V6;Ano 2008 - 65.143 km;São Paulo - SP;[' Sensor de chuva'];
R$ 229.000;ACURA REAR;USADO;Motor 2.0 16v;Ano 2007 - 33.343 km;Belo Horizonte - MG;[' Controle de estabilidade'];
R$ 61.000;MERCEDES BENZ SLR;USADO;Motor Diesel V8;Ano 1998 - 66.074 km;São Paulo - SP;[' Travas elétricas'];
R$ 491.000;CADILLAC;USADO;Motor V8;Ano 2001 - 90.123 km;Belo Horizonte - MG;[' Vidros elétricos'];
R$ 340.000;FORD GT40;USADO;Motor 2.4 Turbo;Ano 2009 - 118.844 km;São Paulo - SP;[' Bancos de couro'];
R$ 384.000;HOTROD TRUCK;USADO;Motor V6;Ano 2018 - 73.321 km;São Paulo - SP;[' Controle de estabilidade'];
R$ 81.000;CLASSIC CARS;USADO;Motor 1.0 8v;Ano 2006 - 7.306 km;Belo Horizonte - MG;[' Rodas de liga'];
R$ 429.000;BMW GLAS V8 COUPE;USADO;Motor Diesel;Ano 1991 - 85.498 km;Belo Horizonte - MG;[' Central multimídia'];
R$ 384.000;PEUGEOT;USADO;Motor 2.0 16v;Ano 2017 - 17.022 km;Belo Horizonte - MG;[' Painel digital'];
R$ 318.000;JAGUAR CAR;NOVO;Motor 3.0 32v;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Travas elétricas'];
R$ 326.000;COBRA SPORTS CAR;USADO;Motor 2.4 Turbo;Ano 2008 - 112.215 km;Belo Horizonte - MG;[' Central multimídia'];
R$ 447.000;STRETCH LIMOUSINE;USADO;Motor Diesel;Ano 2009 - 53.225 km;Rio de Janeiro - RJ;[' Ar condicionado'];
R$ 87.000;FERRARI CAR;USADO;Motor Diesel;Ano 2002 - 86.124 km;São Paulo - SP;[' Travas elétricas'];
R$ 182.000;MERCURYDL;USADO;Motor Diesel V8;Ano 1997 - 108.631 km;Belo Horizonte - MG;[' Câmera de estacionamento'];
R$ 212.000;MASERATI;NOVO;Motor 1.0 8v;Ano 2019 - 0 km;Belo Horizonte - MG;[' Vidros elétricos'];
R$ 253.000;MERCEDES C63 ENGINE;USADO;Motor V6;Ano 1995 - 89.724 km;São Paulo - SP;[' Teto panorâmico'];OPORTUNIDADE
R$ 246.000;COUPE;USADO;Motor 3.0 32v;Ano 2001 - 116.767 km;São Paulo - SP;[' Vidros elétricos'];
R$ 364.000;GT;USADO;Motor 4.0 Turbo;Ano 2016 - 38.803 km;São Paulo - SP;[' Ar condicionado'];
R$ 434.000;RENAULT;USADO;Motor 5.0 V8 Bi-Turbo;Ano 1991 - 101.983 km;São Paulo - SP;[' Sensor de chuva'];
R$ 493.000;FIAT 130;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2010 - 11.257 km;Rio de Janeiro - RJ;[' 4 X 4'];OPORTUNIDADE
R$ 303.000;VINTAGE CARS;USADO;Motor 1.8 16v;Ano 2004 - 47.972 km;São Paulo - SP;[' Piloto automático'];
R$ 363.000;NISSAN GTR;USADO;Motor Diesel;Ano 1995 - 61.740 km;Rio de Janeiro - RJ;[' Piloto automático'];
R$ 180.000;MERCEDES SLS;USADO;Motor 3.0 32v;Ano 2004 - 41.278 km;Rio de Janeiro - RJ;[' Sensor de chuva'];
R$ 175.000;LUXURY AUTOMOBILE;NOVO;Motor V8;Ano 2019 - 0 km;Belo Horizonte - MG;[' Sensor de estacionamento'];
R$ 455.000;KIA CAR;USADO;Motor 4.0 Turbo;Ano 2017 - 95.496 km;Rio de Janeiro - RJ;[' Freios ABS'];OPORTUNIDADE
R$ 296.000;TANGERINE LAMBORGHINI;USADO;Motor V8;Ano 2003 - 100.107 km;São Paulo - SP;[' Câmbio automático'];
R$ 363.000;CLASSIC TAILLIGHT;USADO;Motor 4.0 Turbo;Ano 2015 - 39.240 km;Belo Horizonte - MG;[' Sensor crepuscular'];
R$ 217.000;WIESMANN GT MF4;USADO;Motor 2.0 16v;Ano 1994 - 82.228 km;Rio de Janeiro - RJ;[' Painel digital'];
R$ 51.000;GMC YUKON;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2017 - 24.757 km;São Paulo - SP;[' Central multimídia'];
R$ 109.000;PORSCHE 918 SPYDER;USADO;Motor Diesel V6;Ano 2015 - 70.486 km;São Paulo - SP;[' Câmera de estacionamento'];
R$ 189.000;T1;NOVO;Motor 1.0 8v;Ano 2019 - 0 km;São Paulo - SP;[' Rodas de liga'];
R$ 110.000;MERCEDES BENZ 280S;USADO;Motor 2.4 Turbo;Ano 2000 - 108.914 km;São Paulo - SP;[' Travas elétricas'];
R$ 321.000;LINCOLN;USADO;Motor 1.8 16v;Ano 2004 - 90.412 km;Rio de Janeiro - RJ;[' Painel digital'];
R$ 275.000;BLACK SUV;NOVO;Motor Diesel V8;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' 4 X 4'];OPORTUNIDADE
R$ 261.000;DESOTO;USADO;Motor Diesel;Ano 2015 - 4.561 km;São Paulo - SP;[' Câmbio automático'];
R$ 173.000;CHEVROLET;USADO;Motor 2.4 Turbo;Ano 1992 - 108.884 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 303.000;VOLVO;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;[' Controle de estabilidade'];OPORTUNIDADE
R$ 264.000;KOENIGSEGG CCR;USADO;Motor V8;Ano 1993 - 47.501 km;Rio de Janeiro - RJ;[' Sensor crepuscular'];
R$ 323.000;LAMBORGHINI MURCIELAGO SV;USADO;Motor Diesel V6;Ano 2005 - 96.423 km;São Paulo - SP;[' Painel digital'];
R$ 244.000;OPEL DIPLOMAT;USADO;Motor Diesel V8;Ano 1992 - 50.436 km;Rio de Janeiro - RJ;[' Sensor de estacionamento'];
R$ 350.000;ROLLS ROYCE;NOVO;Motor Diesel V6;Ano 2019 - 0 km;Belo Horizonte - MG;[' Vidros elétricos'];
R$ 316.000;FERRARI F430 SPIDER;USADO;Motor V8;Ano 1993 - 9.245 km;São Paulo - SP;[' Controle de tração'];
R$ 352.000;SHEAVY;USADO;Motor V6;Ano 1997 - 16.528 km;Belo Horizonte - MG;[' Sensor de chuva'];OPORTUNIDADE
R$ 291.000;AUTO DETAIL;USADO;Motor 4.0 Turbo;Ano 2011 - 119.240 km;São Paulo - SP;[' Travas elétricas'];
R$ 98.000;ALFA ROMEO;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Belo Horizonte - MG;[' Painel digital'];OPORTUNIDADE
R$ 218.000;LAMBORGHINI HURACAN;USADO;Motor Diesel V8;Ano 1991 - 80.719 km;São Paulo - SP;[' Central multimídia'];
R$ 218.000;MORGAN PLUS 8;USADO;Motor Diesel;Ano 2010 - 113.873 km;São Paulo - SP;[' Travas elétricas'];
R$ 387.000;BMW M4;USADO;Motor Diesel V6;Ano 1995 - 91.022 km;Belo Horizonte - MG;[' Ar condicionado'];
R$ 105.000;COLD;USADO;Motor 1.0 8v;Ano 2002 - 50.166 km;Belo Horizonte - MG;[' Controle de tração'];OPORTUNIDADE
R$ 170.000;C63;USADO;Motor 2.0 16v;Ano 1994 - 59.885 km;Belo Horizonte - MG;[' Câmbio automático'];
R$ 490.000;CUSTOM RIMS;USADO;Motor 4.0 Turbo;Ano 1994 - 15.292 km;Belo Horizonte - MG;[' Sensor de chuva'];
